datasets,spl,single_ans,conversations,answer,trg
mtp1,sample,support,"and, moreover, entails significant risks and side effects.",['support'],The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
mtp1,sample,support,Air traffic is extremely environmentally unfriendly.,['support'],The negative impact of air traffic however is considerable.
mtp1,sample,support,Capital punishment would be murder and would have to be punished with the death penalty itself.,['support'],Germany should by no means introduce capital punishment.
mtp1,sample,support,"Besides, intelligence services intervene massively in the privacy of citizens",['support'],Secret services must be more tightly regulated in order to prevent excessive surveillance.
mtp1,sample,support,like your brother.,['support'],"as too much TV makes you stupid in the long run,"
mtp1,sample,support,"This helps the landlords,",['support'],"If there must be rent increases, there should also be a cap to avoid nasty surprises."
mtp1,sample,support,"Curiously, however, there are still adverts and product placements on the public channels.",['support'],"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
mtp1,sample,support,Passengers would definitely feel safer then.,['support'],"This is why we need more police presence in public transport,"
mtp1,sample,support,"Besides, the trading of information is obviously driven by greed of gain.",['support'],Tax data that are not made available for free should therefore not be acquired by the state.
mtp1,sample,support,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",['support'],"The implementation of retirement at 63 is no longer socially sustainable,"
mtp1,sample,support,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,['support'],"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
mtp1,sample,support,This is detrimental for Germany as a business location and leaves employers without a transition period.,['support'],as upon introduction many current employees of advanced age would immediately be eligible to retire. The introductory phase of retirement at 63 would also be a particular challenge
mtp1,sample,support,This would simply mean that only those people with wealthy parents or a previous education and a part-time job while studying would be able to apply for a degree programme in the first place.,['support'],German universities should on no account charge tuition fees.
mtp1,sample,support,This would mean that organizations would be lacking a great deal of manpower in the future.,['support'],I am not of the opinion that the retirement age should be set at 63 years.
mtp1,sample,support,and at the same time birth rates are declining.,['support'],"the life expectancy is constantly rising, In a few decades our society will have a disproportionate number of old people:"
mtp1,sample,support,which means that quacks and phonies can practice these occupations unknown to the patients.,['support'],That's why the statutory health insurance companies should not cover such treatments.
mtp1,sample,support,Plus we don't live in medieval times anymore.,['support'],We don't need it.
mtp1,sample,support,The rich and poor live in different neighbourhoods.,['support'],"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
mtp1,sample,support,Fear of punishment hence does not deter murderers.,['support'],'An eye for an eye' seems to miss the point.
mtp1,sample,support,and conventional medicine will also hardly suffer.,['support'],A reduction in the amount of chemically produced medication per person is most certainly desirable.
mtp1,sample,support,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",['support'],School uniforms should be introduced in our schools again.
mtp1,sample,support,Studying and taking higher degrees must remain a basic right for everyone.,['support'],Tuition fees should not be charged in Germany.
mtp1,sample,support,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,['support'],"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
mtp1,sample,support,These areas will be upgraded economically due to these factors (housing health and employment).,['support'],"After the new BER Airport has been commissioned, Tegel should definitely be closed."
mtp1,sample,support,as ultimately this decision is in the hands of the respective government leaders.,['support'],"Yet it remains questionable whether the actual implementation of such supervision would at the same time lead to a stronger observance of laws,"
mtp1,sample,support,"Plus, the state wants me to spend my money,",['support'],"Well, I as an employee find it very practical to be able to shop at least on weekends."
mtp1,sample,support,"as too much TV makes you stupid in the long run,",['support'],"You should watch less television,"
mtp1,sample,support,"which are often less costly than medication from conventional medicine, which are also paid for after all.",['support'],The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
mtp1,sample,support,"The developments in that conflict should not be left to former Cold War opponents alone,",['support'],The EU should exert influence on the political events in Ukraine.
mtp1,sample,support,Capital punishment will not deter anyone else from an atrocity.,['support'],"One should not re-introduce capital punishment in Germany,"
mtp1,sample,support,and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives.,['support'],The morning-after pill ought to be available over-the-counter in pharmacies.
mtp1,sample,attack,so this has hardly any effect on the level of full-time employment and the number of unemployed.,['attack'],Due to the increase in opening hours on Sundays and holidays there is a rise in employment. For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.
mtp1,sample,attack,The choice of an attending physician is at the discretion of the patient.,['attack'],They should not be spent on personal preferences without proven use.
mtp1,sample,attack,"Capital punishment is not a solution,",['attack'],"Still, the state needs the death penalty as a deterrent to horrific crimes."
mtp1,sample,attack,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,['attack'],That's why a visit to the doctor and professional advice should remain mandatory.
mtp1,sample,attack,"Granted, those concern primarily the British and American intelligence services,",['attack'],this should be clear to everyone after the disclosures of Edward Snowden. Intelligence services must urgently be regulated more tightly by parliament;
mtp1,sample,attack,"Some worry about careless use of such measures,",['attack'],The morning-after pill ought to be available over-the-counter in pharmacies.
mtp1,sample,attack,"Perhaps it is less thrilling for a spectator than for the player,",['attack'],It would be fair to make them into an Olympic event.
mtp1,sample,attack,yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.,['attack'],"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials, Health insurance companies should naturally cover alternative medical treatments."
mtp1,sample,attack,Parliamentary control however hampers the work of intelligence services,['attack'],Secret services must be more tightly regulated in order to prevent excessive surveillance.
mtp1,sample,attack,"As a boy he did use to scuffle with the other choirboys,",['attack'],I think Fritz has never been in a fight in his life.
mtp1,sample,attack,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,['attack'],School uniforms should not be worn in our schools.
mtp1,sample,attack,Those who do or try to should be held accountable if at all possible.,['attack'],Tax data that are not made available for free should therefore not be acquired by the state.
mtp1,sample,attack,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,",['attack'],the EU should intervene right away.
mtp1,sample,attack,this is precisely the crime that we should not repay with the same.,['attack'],"Even if many people think that a murderer has already decided on the life or death of another person, The death penalty is a legal means that as such is not practicable in Germany."
mtp1,sample,attack,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",['attack'],Everyone should be able to get the utmost profit from his or her property. None
mtp1,sample,attack,but is not of top priority for employers.,['attack'],"For a good overall grade opens many doors, The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
mtp1,sample,attack,But still Germany produces way too much rubbish,['attack'],"Yes, it's annoying and cumbersome to separate your rubbish properly all the time. We Berliners should take the chance and become pioneers in waste separation!"
mtp1,sample,attack,My parents say this could also be pure coincidence.,['attack'],and you only get that with siblings.
mtp1,sample,attack,And yet now I'll actually have all the more time for them.,['attack'],Facebook warns me emphatically that I may lose contact with my friends.
mtp1,sample,attack,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.",['attack'],"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
mtp1,sample,attack,Critics point out that they are not using what's on offer by public broadcasting.,['attack'],The TV/radio licence fee can only be required of all citizens/households equally.
mtp1,sample,attack,The state ought not to restrict medical products or medical treatments for moral reasons as long as they don't do damage to others.,['attack'],dispensing it without medical advice would be inappropriate.
mtp1,sample,attack,"Even if many people think that a murderer has already decided on the life or death of another person,",['attack'],The death penalty is a legal means that as such is not practicable in Germany.
mtp1,sample,attack,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,",['attack'],"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
mtp1,sample,attack,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",['attack'],Uniforms always and immediately provoke fear of losing one's individuality School uniforms should be introduced in our schools again.
mtp1,sample,attack,which is why students also ought to be involved in this cost factor.,['attack'],Therefore universities should not charge tuition fees in Germany.
mtp1,sample,attack,"However, the effort required for the individual equally weighted modules differs strongly.",['attack'],That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits). It would therefore be wise to adjust the required effort for final theses accordingly.
mtp1,sample,attack,Due to the increase in opening hours on Sundays and holidays there is a rise in employment.,['attack'],For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.
mtp1,sample,attack,But what is the good of a wonderfully outfitted university if it doesn't actually allow the majority of clever people to broaden their horizons with all that great equipment?,['attack'],One could argue that an increase in tuition fees would allow institutions to be better equipped. German universities should on no account charge tuition fees.
mtp1,sample,attack,although they have taken or destroyed another life?,['attack'],"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on"
mtp1,sample,attack,"Indeed it's not the fault of the animals,",['attack'],For dog dirt left on the pavement dog owners should by all means pay a bit more.
mtp1,sample,attack,One could argue that an increase in tuition fees would allow institutions to be better equipped.,['attack'],German universities should on no account charge tuition fees.
mtp1,sample,attack,But precisely this is unfortunately not the case.,['attack'],unless they're unbreakable.
mtp1,sample,attack,unless the promised effect and its medical benefit have been concretely proven.,['attack'],Health insurance companies should not cover treatment in complementary medicine
mtp1,sample,attack,"Admittedly they do not generally prevent you from catching a virus,",['attack'],Anti-virus software protects the users of a computer from dangers from the internet.
mtp1,sample,attack,but this issue should be solvable through a clearly structured preselection process.,['attack'],"Considering their requirements, some video games are not relevant as sports, Video games ought to be included in the ranks of Olympic events."
mtp1,sample,attack,Yet no one should be required to work for more than 40 years.,['attack'],Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
mtp1,sample,attack,"For a good overall grade opens many doors,",['attack'],"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
mtp1,sample,attack,but you shouldn't bother hoping for that.,['attack'],"Of course a higher federal subsidy would be even better for Berlin's coffers, and nothing will get Berlin out of its financial jam more than a lot of spending visitors."
mtp1,sample,attack,"Throughout the six or seven semesters, however, topics are covered that likewise ought to carry weight.",['attack'],Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees. Current regulations for the calculation of the total grade should therefore be maintained.
mtp1,sample,attack,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,",['attack'],Health insurance companies should naturally cover alternative medical treatments.
mtp1,sample,attack,although he plays very well without training.,['attack'],"Plus he comes to training way too rarely, It was clearly a mistake to include Tom in our football team."
mtp1,sample,attack,One could worry that our farmers would then run into economic difficulties.,['attack'],We should thus all limit our consumption of meat rigorously.
mtp1,sample,attack,"People are getting older on average,",['attack'],"but they are not sicker and not duller because of it. No, the retirement age should be raised to 65 again."
mtp1,sample,attack,However then you'd have a worse overview of which shop is open on a given day.,['attack'],Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
mtp1,sample,attack,However it is obvious that the license fee officers are not in a position to check the usage of every single device.,['attack'],The TV license fee should only be collected from those who actually make use of the programming of the public broadcasters.
mtp1,sample,attack,"Of course a higher federal subsidy would be even better for Berlin's coffers,",['attack'],and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
mtp1,sample,attack,"and the mood in the stock market could be better on the whole,",['attack'],you should buy IBM shares if you want to invest.
mtp1,sample,attack,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,['attack'],"Sure, other people have to work in the shops on the weekend, Well, I as an employee find it very practical to be able to shop at least on weekends."
mtp1,sample,attack,"Some dog owners assume that paying a dog licence fee covers the removal of such waste,",['attack'],There should be much higher fines for dog dirt left on pavements.
mtp1,sample,attack,"Even though politicians stress the Christian character of our country,",['attack'],the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.
mtp1,sample,attack,"Of course the camera could be better,",['attack'],I can only recommend the new smartphone XYZ-123 to everyone.
mtp1,sample,attack,but this problem should rather be addressed with comprehensive prior education.,['attack'],"Some worry about careless use of such measures, The morning-after pill ought to be available over-the-counter in pharmacies."
mtp1,sample,attack,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",['attack'],"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea. If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
mtp1,sample,attack,"It is indisputable, however, that by purchasing such data the state increases the pressure on tax evaders to turn themselves in.",['attack'],Acquiring CDs with tax data of tax delinquents is therefore out of the question.
mtp1,sample,attack,But that much of a coincidence is simply impossible.,['attack'],My parents say this could also be pure coincidence.
mtp1,sample,attack,"Indeed the team ended up third in the league,",['attack'],Berlin's basketball team has just come out of a sobering season.
mtp1,sample,attack,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.,['attack'],That's why causing such obstacles must to be more urgently punished.
mtp1,sample,attack,"It would be an exception if you only watched quiz shows,",['attack'],"as too much TV makes you stupid in the long run, You should watch less television,"
mtp1,sample,attack,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",['attack'],"If there must be rent increases, there should also be a cap to avoid nasty surprises."
mtp1,sample,attack,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",['attack'],"Admittedly the number of immigrants is constantly rising in Germany, The implementation of retirement at 63 is no longer socially sustainable,"
mtp1,sample,attack,"Despite the severe clashes in Kiev, which at times have threatened to escalate,",['attack'],the EU should not intervene in local politics.
mtp1,sample,attack,"Yes, there is a certain risk to life.",['attack'],Tomorrow I will skydive for the first time in my life.
mtp1,sample,attack,"Although Ukraine is a European country,",['attack'],the EU should not intervene in local politics.
mtp1,sample,attack,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.",['attack'],Patients do often report relief of their complaints after such treatments. Health insurance companies should not cover treatment in complementary medicine
mtp1,sample,attack,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,['attack'],Clearly the landlord has to pay for some repairs before a new lease. It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
mtp1,sample,attack,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.",['attack'],"or regard it as too much of an intervention into the leeway of students and parents to make decisions. A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
mtp1,sample,attack,Everyone should be able to get the utmost profit from his or her property.,['attack'],'Property entails commitment' is one of the tenets of our social order. A constant increase in rent upon a change of tenants hence cannot be desired by society.
mtp1,sample,attack,"and the Ukrainian opposition is primarily interested in installing a robust democracy,",['attack'],the EU should not intervene in local politics.
mtp1,sample,attack,"but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights.",['attack'],"Perhaps it is less thrilling for a spectator than for the player, It would be fair to make them into an Olympic event."
mtp1,sample,attack,but you tend to watch Big Brother and X-Diaries.,['attack'],"It would be an exception if you only watched quiz shows,"
mtp1,sample,attack,even if billions of Euros have already been invested in the existing airport project,['attack'],"BER should be re-conceptualized from scratch,"
mtp1,sample,attack,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.",['attack'],"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
mtp1,sample,attack,Yet then they misjudge its impact on road traffic.,['attack'],Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
mtp1,sample,attack,"Considering their requirements, some video games are not relevant as sports,",['attack'],Video games ought to be included in the ranks of Olympic events.
mtp1,sample,attack,women should still be informed about the risks and have a gynaecological examination before taking it.,['attack'],"Though there'd be the advantage of forgoing the embarrassment of a visit to the doctor or a nighttime trip to the walk-in clinic, No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy."
mtp1,sample,attack,"The doctor was able to sign him off as fit for play with enough painkillers,",['attack'],Schweinsteiger has now been injured for three days. We urgently need a midfield replacement for the coming match.
mtp1,sample,attack,"Of course he could do another big ad campaign,",['attack'],and his pool of customers is shrinking constantly. Peter should close his snack bar as soon as possible.
mtp1,sample,attack,The bachelor thesis reflects both the content and the methods of the topics covered during a degree programme.,['attack'],Due to the many random factors the bachelor thesis should not play a bigger role.
mtp1,sample,attack,"Although having children has become more fashionable again in recent years,",['attack'],and at the same time birth rates are declining.
mtp1,sample,attack,Yet this very proof is lacking in most cases.,['attack'],unless the promised effect and its medical benefit have been concretely proven.
mtp1,sample,attack,However there is no substantiated data that this healing isn't simply due to the placebo effect.,['attack'],Many people see proven relief of their symptoms and complaints by complementary medicine. That's why the statutory health insurance companies should not cover such treatments.
mtp2,sample,support,as the driver ends up using just one hand instead of both hands on the steering wheel.,['support'],This causes further hindrance to safe driving
mtp2,sample,support,"Their ability to raise a child is questionable,",['support'],Teenagers that get pregnant should not keep their children.
mtp2,sample,support,Video games are the enemy of quality family time.,['support'],The time playing video games should be limited by parents or caregivers.
mtp2,sample,support,No matter where the waste ends up it will still effect the earth and its resources for years to come,['support'],There is no way to handle nuclear waste responsibly.
mtp2,sample,support,and teens are often unable to place reasonable limits on their social media time.,['support'],Social media has been largely detrimental to teenagers
mtp2,sample,support,"Furthermore, you don't have any sibling rivalry.",['support'],It is good to be the only child.
mtp2,sample,support,allowing them to take care of the needs and education of children.,['support'],"Older people make far more money than younger people on average, Do older people make better parents? In this day and age the answer can only be yes."
mtp2,sample,support,It is also an excellent way to improve the family's total health.,['support'],Doing sports together is a good thing for families.
mtp2,sample,support,because of not being around just adults all the time.,['support'],"They will be more outgoing, more playful,"
mtp2,sample,support,Also it has redefined the term 'friend' and therefor friendship.,['support'],Social media has hurt the lives of teenagers in several ways.
mtp2,sample,support,I feel that in humanity there is a need for physical intimacy for anyone,['support'],They would also need to understand that there is going to be a lack of any physical contact for a long period of time. For this reason I think they usually work at first but however over time they will fail to meet all the criteria of a good relationship.
mtp2,sample,support,Because it helps raise awareness,['support'],Eco-tourism can help protect wild areas and animals.
mtp2,sample,support,"If you do not have any siblings, you have all the attention of your parents and do not have to share.",['support'],It is good to be the only child.
mtp2,sample,support,"When they compare the games and the excitement of the violence and gore to their real lives, it makes them crave that same level of intensity which makes them act out.",['support'],but they are more violent overall.
mtp2,sample,support,such as the threat of hacking.,['support'],"but there are many security issues with files stored on computers that are not shared by physical files,"
mtp2,sample,support,The risk of contamination by far outweighs any economical advantage that creates nuclear waste.,['support'],There is no solution to the nuclear waste problem.
mtp2,sample,support,because it usually means they have lots of brothers and sisters to play with.,['support'],"Large families provide a wonderful life for children,"
mtp2,sample,support,Many voracious readers love to hold books,['support'],Paper books are a joy to read. Electronic books can never replace this feeling.
mtp2,sample,support,"There are places in the world without landfills, and they suck.",['support'],Landfills are necessary.
mtp2,sample,support,"Horns are the rhinos' natural protection mechanism,",['support'],so if they were gone they would be very susceptible to death
mtp2,sample,support,Most people understand video games are fantasy.,['support'],"Violent video games, in and of themselves, do not cause people to act out violently."
mtp2,sample,support,Saying that you are mutilating the animal to protect people from mutilation poaching is absurd,['support'],Bad way to go.
mtp2,sample,support,but it can be a lot harder to support children when you are young.,['support'],Teenage marriages are not a good idea.
mtp2,sample,support,It is also a benefit as it encourages people to go to stores to recycle,['support'],By developing a small deposit on these cans
mtp2,sample,support,There is so much negativity on social media.,['support'],Social media has not improved the lives of teenagers.
mtp2,sample,support,Among other things it also causes stress for the children of the couple,['support'],So in short no it is not a good idea
mtp2,sample,support,and clean up the roads.,['support'],"A deposit on soft drink bottles is a really good idea,"
mtp2,sample,support,Children should be able to make some small decisions for themselves at a young age;,['support'],Helicopter parents can cause children to grow up to be overly dependent.
mtp2,sample,support,"Overall, composting has multiple benefits that will all contribute in aggregate toward helping our environment.",['support'],Composting can help the environment
mtp2,sample,support,Many people reuse the plastic bags after they return from the store.,['support'],Supermarkets should not charge for plastic bags.
mtp2,sample,support,Children learn how to share items and time with their family.,['support'],"Yes, large families are good for children"
mtp2,sample,support,Investing in reactors that can run on nuclear waste is also an option.,['support'],Yes there is a chance to handle nuclear waste responsibly.
mtp2,sample,support,"Children with siblings are happier as they always have someone to go to for help, or someone to play with.",['support'],It is not good to be an only child.
mtp2,sample,support,They can use social media to gather important information from friends and families to enhance the academic abilities.,['support'],because they have the world at their fingertips.
mtp2,sample,support,"For example, the production of meat use more resources in terms of cattle feed, energy, and human labor.",['support'],by using less resources.
mtp2,sample,support,They can share what matters to them and feel validation that adolescents in the past may have been unable to find.,['support'],Social media has improved the lives of teenagers.
mtp2,sample,support,It removes them from a toxic environment.,['support'],A divorce can be beneficial for the children.
mtp2,sample,support,There are other sources of energy that are safer than using fracking.,['support'],Fracking is unnecessary and unsafe.
mtp2,sample,support,It is far more convenient and takes up a lot less space to store data on hard drives and disks than to use paper products.,['support'],"Paper and books, at some point will become obsolete."
mtp2,sample,support,because the plastic bags will still be available for only a few pennies.,['support'],but that is not a valid argument
mtp2,sample,support,They have had time to mature more and learn about themselves.,['support'],I think it's possible for older people to be better parents.
mtp2,sample,support,thus creating a cleaner environment.,['support'],you encourage people to pick these cans up along the road
mtp2,sample,support,Recycling will help save land that would have to be turned into a landfill.,['support'],"Yes, recycling really makes a difference."
mtp2,sample,support,People enjoy having something tangible to read and/or write on.,['support'],I don't believe that paper and books will ever become obsolete.
mtp2,sample,support,"If they aren't allowed the freedom to make some of their own decision, and mistakes, they have an unreasonable expectation that everything will always be laid out in a straight, structured line.",['support'],Kids need to have some freedom to have some of their time for themselves.
mtp2,sample,support,and will not succeed because of these video games.,['support'],Schools should not use video games as a teaching tool.
mtp2,sample,support,Using a cell phone while driving is extremely dangerous.,['support'],Prohibiting car drivers from using their cell phones while driving would go a long way to making our roads safer.
mtp2,sample,support,The world is a tough place and,['support'],Helicopter parents are not good for their children
mtp2,sample,support,A helicopter parent does not allow the child to develop life skills needed to do that.,['support'],The primary job of a parent is to prepare the child to live independently on their own. Helicopter parents are bad for their children.
mtp2,sample,support,Its very harmful and spoils the Nature and anything in its contact.,['support'],Its very important that we stop using plastic.
mtp2,sample,support,"Furthermore, hunting your own meat saves up the natural resources that would otherwise be used in a processing plant.",['support'],Hunting is good for the environment.
mtp2,sample,support,The supplies for dogs can be somewhat expensive.,['support'],If a person loses their source of income then their dogs may suffer and not receive adequate care.
mtp2,sample,support,Hunting thins the herd of animals and makes the group as a whole healthier.,['support'],as it provides a sustainable resource.
mtp2,sample,support,so by being so distant you can't make that happen.,['support'],They would also need to understand that there is going to be a lack of any physical contact for a long period of time. For this reason I think they usually work at first but however over time they will fail to meet all the criteria of a good relationship.
mtp2,sample,support,and it needs to be rectified.,['support'],This is driving a wedge between families but the constant use of cell phones is definitely not bringing families closer together.
mtp2,sample,support,We have everyday responsibilities that you don't see in movies.,['support'],If people think that their life should turn out like a movie and then find out it is way different they should not be shocked.
mtp2,sample,support,"Taking the time to get to know someone, especially someone you plan to spend your whole life with, is critical.",['support'],People should date at least one year before getting engaged.
mtp2,sample,support,"The world must reduce its reliance on fossil fuels as a main source of energy,",['support'],Wind energy is a viable form of alternative energy production that should be encouraged in use.
mtp2,sample,support,Having a larger family causes each member to feel like they have to excel or act out for attention.,['support'],Large families are not necessarily better for children.
mtp2,sample,support,It is an unfair thing to do to someone.,['support'],"The teenager will have a much more difficult time getting ahead in life, and this will disproportionately affect the lower classes more than the upper. Teenagers that get pregnant should not keep their children."
mtp2,sample,support,They are generally considered to be much more efficient than incandescent light bulbs for example.,['support'],Most studies show that LED lights tend to consume less energy for the same amount of light emitted.
mtp2,sample,support,"In romantic movies, they do not show the truth behind a real romantic relationship.",['support'],"Romantic movies set high expectations for relationships, sometimes even unrealistic."
mtp2,sample,support,as some composting materials contain heavy metals,['support'],There can be a downside with composting due to runoff
mtp2,sample,support,as on average they are not college educated.,['support'],and it creates a lower economic living too
mtp2,sample,support,"We want to make sure they're ok, like the ones we love.",['support'],because they're a part of the family.
mtp2,sample,support,"Family video games would be the modern day equivalent to gathering as a family to play a board game, and there has never been controversy around that activity.",['support'],"Video games do impact family life, but that impact does not always have to be negative."
mtp2,sample,support,Helicopter parents are driven by their need to protect and help their children.,['support'],Helicopter parents are good for their children.
mtp2,sample,support,"We feed them, bath them, take them to their appointments.",['support'],because they're a part of the family.
mtp2,sample,support,By storing the waste in carefully isolated facilities the danger can be minimized.,['support'],Yes there is a chance to handle nuclear waste responsibly.
mtp2,sample,support,Energy companies in the U.S. are privately owned and make their choices based on what is economically feasible.,['support'],Government regulations will not necessarily speed up the spread of wind energy.
mtp2,sample,support,"But if the fee was small, it wouldn't be too bad for those who forgot their reusable bags, or have their reasons for using plastic each time.",['support'],I think that supermarkets should charge a small amount for plastic bags.
mtp2,sample,support,It is toxic,['support'],"and no matter what care is taken, there is a risk."
mtp2,sample,support,"Using a cell phone while driving distracts drivers from road hazards and the task at hand,",['support'],potentially putting the driver and others on the road at risk of a serious accident.
mtp2,sample,support,"In some cases, hunting can remove threats to the environment.",['support'],Hunting is good for the environment.
mtp2,sample,support,so it is also important not to over-hunt.,['support'],"As long as restraint and practicality are applied to hunting, the environment will not suffer."
mtp2,sample,support,Everyone has their own circumstances.,['support'],There should be no upper or lower limit on how long people date before becoming engaged.
mtp2,sample,support,"This ensures something good is being gained from video games in school, and technology is well-utilized.",['support'],"If games were actually tailored to the learning aspect, they could still be seriously fun (and have super cool graphics), but require a skill - like math or grammar - to be learned, to win the game."
mtp2,sample,support,This causes further hindrance to safe driving,['support'],Holding the cell phone in the hand while driving and talking causes attention to be diverted off the roads and traffic. because they tend to cause distraction.
mtp2,sample,support,"This is a simple way to reuse plastic and other materials, to decrease the amount of gas that it harvested.",['support'],one small change is to promote the recycling of soft drink bottles and cans.
mtp2,sample,support,because they cause a lot of pollution and run off.,['support'],Landfills are bad for handling our trash
mtp2,sample,support,Dogs are pets and should not be left outside.,['support'],They should be treated as part of the family.
mtp2,sample,support,It is better for children to be in a loving environment than in one where parents are constantly arguing and fighting with each other.,['support'],Divorce is something that kids can recover from.
mtp2,sample,support,I use my phone to read library books and watch shows because the screen is much bigger than a smart watch.,['support'],Specifically read and watch videos on the watch.
mtp2,sample,support,"Qualified teachers, actually teaching students is what's necessary.",['support'],"People are always trying to think of innovative ways to improve schools, adding video games is now one of them. This makes little sense, however."
